Year,Area,Value
2005,Alor Gajah,NA
2005,Alor Setar,26.50609756097561
2005,Balik Pulau,NA
2005,Balok Baru Kuantan,48.97826086956522
2005,Bandaraya Melaka,44.19672131147541
2005,Banting,44.58152173913044
2005,Batu Muda,35.98351648351648
2005,Batu Pahat,NA
2005,Besut,NA
2005,Bintulu,42.98314606741573
2005,Bukit Rambai,57.89673913043478
2005,Cheras,NA
2005,Indera Mahkota Kuantan,33.26086956521739
2005,Jerantut,41.58469945355191
2005,Kangar,52.10674157303371
2005,Kapit,27.719101123595507
2005,Kemaman,32.64673913043478
2005,Keningau,26.63125
2005,Kimanis,NA
2005,Klang,48.61538461538461
2005,Kluang,NA
2005,Kota Bharu,32.95108695652174
2005,Kota Kinabalu,28.41111111111111
2005,Kota Tinggi,50.57222222222222
2005,Kuala Selangor,49.37362637362637
2005,Kuala Terengganu,38.59239130434783
2005,Kuching,38.53804347826087
2005,Kulim,NA
2005,Labuan,28.065217391304348
2005,Langkawi,36.994565217391305
2005,Larkin,34.172413793103445
2005,Limbang,22.407821229050278
2005,Minden,31.12568306010929
2005,Miri,28.482758620689655
2005,Muar,38.32065217391305
2005,Mukah,NA
2005,Nilai,48.54347826086956
2005,Paka,26.467032967032967
2005,Pasir Gudang,37.32222222222222
2005,Pegoh Ipoh,42.28415300546448
2005,Pengerang,NA
2005,Petaling Jaya,48.19021739130435
2005,Port Dickson,NA
2005,Putrajaya,39.994505494505496
2005,Rompin,NA
2005,Samalaju,NA
2005,Samarahan,38.92265193370166
2005,Sandakan,38.25
2005,Sarikei,40.89655172413793
2005,Seberang Jaya,38.91304347826087
2005,Seberang Perai,38.869565217391305
2005,Segamat,NA
2005,Seremban,39.84615384615385
2005,Seri Manjung,46.52717391304348
2005,Shah Alam,40.64673913043478
2005,Sibu,36.71195652173913
2005,Sri Aman,30.071428571428573
2005,Sungai Petani,39.43956043956044
2005,Taiping,38.36813186813187
2005,Tanah Merah,34.48314606741573
2005,Tangkak,NA
2005,Tanjung Malim,28.217391304347824
2005,Tasek Ipoh,35.30769230769231
2005,Tawau,49.91847826086956
2005,Temerloh,NA
2006,Alor Gajah,NA
2006,Alor Setar,37.5
2006,Balik Pulau,NA
2006,Balok Baru Kuantan,54.42286501377411
2006,Bandaraya Melaka,47.41022099447514
2006,Banting,51.26027397260274
2006,Batu Muda,46.850622406639005
2006,Batu Pahat,NA
2006,Besut,NA
2006,Bintulu,48.58126721763085
2006,Bukit Rambai,63.1872399445215
2006,Cheras,NA
2006,Indera Mahkota Kuantan,41.33653846153846
2006,Jerantut,42.72275862068965
2006,Kangar,42.06258890469417
2006,Kapit,37.41863699582754
2006,Kemaman,44.114893617021274
2006,Keningau,42.178082191780824
2006,Kimanis,NA
2006,Klang,56.38219178082192
2006,Kluang,NA
2006,Kota Bharu,39.204166666666666
2006,Kota Kinabalu,40.84349030470914
2006,Kota Tinggi,56.705234159779614
2006,Kuala Selangor,59.52624309392265
2006,Kuala Terengganu,49.1
