state,month,avg_temperature,avg_visibility
Johor,Jan,27.739919354838708,8.839717741935484
Johor,Feb,28.17805151175812,8.93505039193729
Johor,Mar,28.54499494438827,8.772497472194136
Johor,Apr,28.54869109947644,8.464921465968587
Johor,May,28.772126144455747,8.23499491353001
Johor,Jun,28.16193480546793,8.25236593059937
Johor,Jul,28.14040404040404,8.282828282828282
Johor,Aug,28.50808080808081,8.32020202020202
Johor,Sep,28.471324296141816,6.436913451511992
Johor,Oct,27.28181818181818,7.608080808080808
Johor,Nov,27.441544885177453,7.776617954070981
Johor,Dec,26.670362903225808,8.047379032258064
Kedah,Jan,28.672292545710267,8.954289732770745
Kedah,Feb,29.22681215900234,8.968823070927513
Kedah,Mar,29.636044880785413,8.904628330995793
Kedah,Apr,29.549490538573508,8.873362445414847
Kedah,May,28.900504686373466,8.7577505407354
Kedah,Jun,28.623272727272727,8.546909090909091
Kedah,Jul,28.32278481012658,8.29746835443038
Kedah,Aug,27.969307637401855,8.181299072091363
Kedah,Sep,28.0319071791153,6.8187092095721535
Kedah,Oct,27.414908579465543,8.568917018284107
Kedah,Nov,27.852066715010878,8.814358230601885
Kedah,Dec,28.34502103786816,8.974053295932679
Kelantan,Jan,26.945147679324894,8.646976090014064
Kelantan,Feb,27.25077881619938,8.88006230529595
Kelantan,Mar,27.90730337078652,8.849719101123595
Kelantan,Apr,29.334302325581394,8.848837209302326
Kelantan,May,29.32630098452883,8.891701828410689
Kelantan,Jun,28.180232558139537,8.76453488372093
Kelantan,Jul,28.367461430575034,8.85413744740533
Kelantan,Aug,28.161516853932586,8.775280898876405
Kelantan,Sep,27.54057971014493,8.114492753623189
Kelantan,Oct,27.368863955119213,8.91304347826087
Kelantan,Nov,26.936046511627907,8.704941860465116
Kelantan,Dec,26.807854137447407,8.873772791023843
Kuala Lumpur,Jan,28.320054945054945,8.841346153846153
Kuala Lumpur,Feb,28.728658536585368,8.774390243902438
Kuala Lumpur,Mar,28.877144818119422,8.304049416609471
Kuala Lumpur,Apr,28.651988636363637,8.534090909090908
Kuala Lumpur,May,28.994452149791954,8.71359223300971
Kuala Lumpur,Jun,28.19645390070922,8.688652482269504
Kuala Lumpur,Jul,28.15247252747253,8.63804945054945
Kuala Lumpur,Aug,28.090721649484536,7.655670103092784
Kuala Lumpur,Sep,28.346372688477953,5.137268847795164
Kuala Lumpur,Oct,27.383344803854094,7.913971094287681
Kuala Lumpur,Nov,27.610241820768138,8.274537695590327
Kuala Lumpur,Dec,27.581043956043956,8.73489010989011
Labuan,Jan,27.55492957746479,8.869014084507043
Labuan,Feb,27.314641744548286,8.984423676012462
Labuan,Mar,27.91983122362869,8.929676511954993
Labuan,Apr,29.06277372262774,8.905109489051094
Labuan,May,29.2037845705968,8.895196506550219
Labuan,Jun,28.65166908563135,8.76923076923077
Labuan,Jul,28.1376404494382,8.82443820224719
Labuan,Aug,28.56619718309859,8.898591549295775
Labuan,Sep,28.866666666666667,7.334782608695652
Labuan,Oct,27.81293952180028,8.683544303797468
Labuan,Nov,27.71698113207547,8.657474600870827
Labuan,Dec,27.422316384180792,8.572033898305085
Melaka,Jan,27.690042075736326,8.959326788218794
Melaka,Feb,28.38689547581903,8.973478939157566
Melaka,Mar,28.748948106591865,8.683029453015427
Melaka,Apr,28.684133915574964,8.688500727802039
Melaka,May,29.017021276595745,8.709219858156029
Melaka,Jun,28.12663755458515,8.685589519650655
Melaka,Jul,28.127808988764045,8.65308988764045
Melaka,Aug,28.252525252525253,8.245310245310245
Melaka,Sep,28.118840579710145,6.310144927536232
Melaka,Oct,27.660112359550563,8.518258426966293
Melaka,Nov,27.692753623188405,8.747826086956522
Melaka,Dec,27.06451612903226,8.798036465638148
Pahang,Jan,26.482468443197757,8.771388499298737
Pahang,Feb,26.77102803738318,8.925233644859814
Pahang,Mar,27.8188202247191,8.911516853932584
Pahang,Apr,28.34402332361516,8.800291545189504
Pahang,May,28.38243626062323,8.701133144475921
Pahang,Jun,27.917271407837447,8.512336719883889
Pahang,Jul,28.254213483146067,8.856741573033707
Pahang,Aug,28.090267983074753,7.8039492242595205
Pahang,Sep,27.839130434782607,6.182608695652174
Pahang,Oct,27.270042194092827,8.829817158931084
Pahang,Nov,26.53846153846154,8.243831640058055
Pahang,Dec,25.76685393258427,8.182584269662922
Perak,Jan,27.654008438818565,8.620956399437413
